1,0,0.000003
2,1,0.000002
3,1,0.000003
4,2,0.000003
5,3,0.000002
6,5,0.000002
7,8,0.000004
8,13,0.000005
9,21,0.000007
10,34,0.000011
11,55,0.000017
12,89,0.000027
13,144,0.000043
14,233,0.000069
15,377,0.000099
16,610,0.000174
17,987,0.000260
18,1597,0.000412
19,2584,0.000790
20,4181,0.001104
21,6765,0.001723
22,10946,0.002720
23,17711,0.004885
24,28657,0.007204
25,46368,0.009464
26,75025,0.014308
27,121393,0.021243
28,196418,0.034789
29,317811,0.052018
30,514229,0.079798
31,832040,0.130085
32,1346269,0.206160
33,2178309,0.342952
34,3524578,0.538176
35,5702887,0.866090
36,9227465,1.397452
37,14930352,2.248012
38,24157817,3.659248
39,39088169,5.940371
40,63245986,9.592333
41,102334155,15.492532
42,165580141,25.101014
43,267914296,42.957659
44,433494437,69.578361
45,701408733,109.819534
46,1134903170,185.857886
47,1836311903,319.585737
48,2971215073,507.640220
49,4807526976,783.620108
50,7778742049,1257.427657
